,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Managed By_Ethiopia Field Office,Managed By_Haiti Field Office,Managed By_PMO - US,Managed By_South Africa Field Office,Fulfill Via_Direct Drop,Fulfill Via_From RDC,Vendor INCO Term_CIF,Vendor INCO Term_CIP,Vendor INCO Term_DAP,Vendor INCO Term_DDP,Vendor INCO Term_DDU,Vendor INCO Term_EXW,Vendor INCO Term_FCA,Vendor INCO Term_N/A - From RDC,Shipment Mode_Air,Shipment Mode_Air Charter,Shipment Mode_Ocean,Shipment Mode_Truck,Product Group_ACT,Product Group_ANTM,Product Group_ARV,Product Group_HRDT,Product Group_MRDT,Sub Classification_ACT,Sub Classification_Adult,Sub Classification_HIV test,Sub Classification_HIV test - Ancillary,Sub Classification_Malaria,Sub Classification_Pediatric,First Line Designation_No,First Line Designation_Yes
1166,60,46163,436240.35,9.45,0.16,4237.0,3482.59,697.98,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1167,60,12040,38528.0,3.2,0.05,677.0,1522.92,61.64,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1168,30,4,105.0,26.25,0.88,1.0,462.5,0.17,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1169,60,1017,2949.3,2.9,0.05,892.0,13353.34,4.72,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1170,60,5217,38605.8,7.4,0.12,563.0,3852.55,75.67,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1171,30,17067,448008.75,26.25,0.88,1481.0,14974.4,878.1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1172,60,6296,74292.8,11.8,0.2,822.0,7321.04,145.61,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1173,30,2003,23475.16,11.72,0.39,181.0,18617.93,46.01,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1174,120,2034,83597.4,41.1,0.34,937.0,10990.36,163.85,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1175,30,50000,600500.0,12.01,0.4,3775.0,4060.54,1176.98,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1176,60,4501,51311.4,11.4,0.19,506.0,22985.72,100.57,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1177,30,145000,1741450.0,12.01,0.4,11186.0,9330.0,2786.32,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1178,60,3672,34333.2,9.35,0.16,3427.0,3874.22,54.93,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1179,60,486,1409.4,2.9,0.05,23.0,968.55,2.76,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1180,30,5000,118500.0,23.7,0.79,,,232.26,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1181,30,3392,89040.0,26.25,0.88,298.0,2922.53,174.52,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1182,60,30415,346731.0,11.4,0.19,3415.0,15128.37,679.59,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1183,60,47392,341222.4,7.2,0.12,7113.0,3599.76,668.8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1184,30,2561,67226.25,26.25,0.88,235.0,15128.37,131.76,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1185,60,3574,31308.24,8.76,0.15,14.0,1375.36,61.36,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1186,30,2345,16063.25,6.85,0.23,239.0,2393.34,31.48,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1187,90,523,6657.79,12.73,0.14,239.0,2393.34,13.05,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1188,60,6133,61.33,0.01,0.0,,,0.12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1189,60,5601,16803.0,3.0,0.05,545.0,2280.64,32.93,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1190,60,500,3855.0,7.71,0.13,10681.0,17384.76,7.56,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1191,240,2208,4239.36,1.92,0.01,827.0,7789.88,8.31,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1192,60,6000,46260.0,7.71,0.13,341.0,2219.27,90.67,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1193,30,30000,291600.0,9.72,0.32,3364.0,7329.83,571.54,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1194,90,1093,16679.18,15.26,0.17,133.0,1759.21,32.69,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1195,60,10962,96027.12,8.76,0.15,2634.0,6111.21,188.21,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1196,60,470,700.3,1.49,0.02,31.0,1047.04,1.37,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1197,60,6930,176368.5,25.45,0.42,687.0,1854.88,345.68,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1198,60,125000,890000.0,7.12,0.12,9290.0,2400.26,1744.4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1199,60,9700,74787.0,7.71,0.13,551.0,2448.71,146.58,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1200,60,4794,122007.3,25.45,0.42,475.0,3588.34,239.13,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1201,60,108000,946080.0,8.76,0.15,10865.0,13518.56,1854.32,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1202,60,7000,52710.0,7.53,0.13,396.0,6087.84,103.31,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1203,60,8824,77298.24,8.76,0.15,706.0,3144.57,151.5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1204,60,1216,1824.0,1.5,0.02,3426.0,9797.41,3.58,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1205,60,98000,294000.0,3.0,0.05,9522.0,13518.56,576.24,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1206,240,4315,9061.5,2.1,0.01,2520.0,25874.1,17.76,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1207,240,2415,4588.5,1.9,0.01,2520.0,25874.1,8.99,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1208,60,240,1680.0,7.0,0.12,23.0,1173.1,3.29,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1209,60,6915,175986.75,25.45,0.42,1067.0,2217.5,344.93,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1210,60,14066,159649.1,11.35,0.19,1593.0,9547.7,312.91,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1211,240,3535,6716.5,1.9,0.01,1224.0,2298.61,14.48,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1212,60,2430,3547.8,1.46,0.02,156.0,2298.6,7.65,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1213,270,1042,82463.88,79.14,0.29,,,177.79,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1214,270,117,9117.81,77.93,0.29,155.0,939.08,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1215,60,600,21480.0,35.8,0.6,55.0,913.15,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1216,270,400,38920.0,97.3,0.36,108.0,23000.34,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1217,336,360,13809.6,38.36,0.11,630.0,3660.4,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1218,20,1500,48000.0,32.0,1.6,580.0,4965.24,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1219,240,474,10191.0,21.5,0.09,221.0,710.68,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1220,90,409,13251.6,32.4,0.36,45.0,348.09,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1221,120,250,10275.0,41.1,0.34,105.0,348.09,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1222,60,85158,909487.44,10.68,0.18,8169.0,33572.78,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1223,25,8009,160180.0,20.0,0.8,,12740.42,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1224,90,151,4892.4,32.4,0.36,,7364.3,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1225,30,2997,50949.0,17.0,0.57,,7364.3,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1226,240,90,1935.0,21.5,0.09,120.0,11609.31,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1227,60,6945,71186.25,10.25,0.17,650.0,2457.0,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1228,60,2329,7615.83,3.27,0.05,153.0,1013.24,12.19,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1229,60,6781,242759.8,35.8,0.6,675.0,2440.0,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1230,100,50,4000.0,80.0,0.8,15.0,1363.0,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1231,60,570,20235.0,35.5,0.59,3946.0,8892.48,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1232,60,1198,4276.86,3.57,0.06,226.0,1732.0,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1233,60,268,9594.4,35.8,0.6,151.0,1516.0,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1234,60,3386,25395.0,7.5,0.12,31.0,1589.0,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1235,30,54263,108526.0,2.0,0.07,7185.0,17587.0,173.64,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1236,60,3386,25395.0,7.5,0.12,345.0,2554.39,40.63,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1237,100,150,12000.0,80.0,0.8,49.0,1012.59,19.2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1238,20,155,4960.0,32.0,1.6,55.0,1126.84,7.94,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1239,60,52865,188728.05,3.57,0.06,9182.0,37695.46,301.96,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1240,20,250,8000.0,32.0,1.6,78.0,1324.61,12.8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1241,20,500,13500.0,27.0,1.35,115.0,1352.0,21.6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1242,60,209,1703.35,8.15,0.14,12.0,764.62,2.73,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1243,60,1051,37625.8,35.8,0.6,373.0,1850.0,60.2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1244,200,165,239.25,1.45,0.01,15.0,350.78,0.38,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1245,60,253,442.75,1.75,0.03,15.0,460.0,0.71,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1246,60,18290,155830.8,8.52,0.14,1114.0,3473.0,249.33,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1247,60,3285,4993.2,1.52,0.03,1286.0,7629.94,7.99,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1248,60,3896,139476.8,35.8,0.6,3369.0,9689.0,223.16,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1249,25,8000,160000.0,20.0,0.8,2366.0,13952.38,256.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1250,336,143,5485.48,38.36,0.11,9006.0,9869.55,8.78,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1251,60,17191,300842.5,17.5,0.29,9006.0,9869.55,481.35,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1252,60,1859,6320.6,3.4,0.06,214.0,891.0,10.11,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1253,180,508,8620.76,16.97,0.09,5880.0,14656.0,13.79,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1254,60,25799,87716.6,3.4,0.06,5880.0,14656.0,140.35,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1255,40,230,17480.0,76.0,1.9,917.0,6056.76,27.97,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1256,40,615,46740.0,76.0,1.9,917.0,6056.76,74.78,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1257,60,10000,106800.0,10.68,0.18,2518.0,6667.0,170.88,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1258,240,13850,29777.5,2.15,0.01,35216.0,88801.0,47.64,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1259,240,15913,31348.61,1.97,0.01,35216.0,88801.0,50.16,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1260,60,14700,22344.0,1.52,0.03,35216.0,88801.0,35.75,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1261,90,1064,17024.0,16.0,0.18,128.0,944.21,27.24,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1262,40,450,34200.0,76.0,1.9,497.0,2650.36,54.72,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1263,270,252,19817.28,78.64,0.29,1736.0,14182.54,31.71,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1264,120,3200,131520.0,41.1,0.34,749.0,2717.0,210.43,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1265,270,16,1258.24,78.64,0.29,295.0,1737.0,2.01,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1266,270,526,41364.64,78.64,0.29,295.0,1737.0,66.18,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1267,240,1341,22126.5,16.5,0.07,395.0,3478.0,35.4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1268,30,1717,21325.14,12.42,0.41,151.0,1157.58,34.12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1269,270,1577,124015.28,78.64,0.29,3023.0,13721.28,198.42,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1270,100,872,62775.28,71.99,0.72,629.0,2938.27,100.44,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1271,60,821,57470.0,70.0,1.17,186.0,549.44,91.95,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1272,60,614,2032.34,3.31,0.06,2846.0,13873.0,3.25,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1273,60,600,2142.0,3.57,0.06,2846.0,13873.0,3.43,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1274,240,390,1010.1,2.59,0.01,2846.0,13873.0,1.62,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1275,100,350,25200.0,72.0,0.72,476.0,2172.0,40.32,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1276,100,2623,27279.2,10.4,0.1,159.0,1007.34,43.65,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1277,240,5496,10827.12,1.97,0.01,6230.0,25739.49,17.32,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1278,30,100,224.0,2.24,0.07,118.0,1616.04,0.36,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1279,200,500,700.0,1.4,0.01,7341.0,10879.28,1.12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1280,30,1,2.0,2.0,0.07,63.0,598.08,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1281,60,1650,22275.0,13.5,0.22,197.0,1637.0,35.64,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1282,30,44135,548156.7,12.42,0.41,3801.0,13715.55,877.05,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1283,30,42,1102.5,26.25,0.88,464.0,3393.0,1.76,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1284,240,3119,0.0,0.0,0.0,1088.0,2951.94,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1285,90,2066,33056.0,16.0,0.18,236.0,1448.2,52.89,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1286,60,219,383.25,1.75,0.03,16.0,472.5,0.61,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1287,30,1184,20128.0,17.0,0.57,49.0,639.75,32.2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1288,120,479,19686.9,41.1,0.34,421.0,5947.88,31.5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1289,240,1926,4140.9,2.15,0.01,807.0,2511.67,6.63,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1290,30,627,7787.34,12.42,0.41,4091.0,12130.9,12.46,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1291,60,37240,275576.0,7.4,0.12,4080.0,13317.2,440.92,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1292,60,100,1550.0,15.5,0.26,195.0,2587.9,2.48,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1293,60,213,14910.0,70.0,1.17,4230.0,8771.34,23.86,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1294,180,343,17150.0,50.0,0.28,4230.0,8771.34,27.44,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1295,90,1692,27072.0,16.0,0.18,182.0,1722.0,43.32,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1296,30,50061,976189.5,19.5,0.65,3946.0,14199.3,1561.9,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1297,30,591,10047.0,17.0,0.57,37.0,504.0,16.08,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1298,60,3150,9576.0,3.04,0.05,165.0,2559.28,15.32,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1299,30,1600,3200.0,2.0,0.07,2425.0,13356.65,5.12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1300,60,7511,25537.4,3.4,0.06,732.0,2724.27,40.86,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1301,60,1008,9576.0,9.5,0.16,441.0,6141.25,15.32,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1302,30,44135,548156.7,12.42,0.41,3483.0,12643.63,877.05,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1303,60,2273,17615.75,7.75,0.13,2749.0,10654.94,28.19,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1304,180,5538,276900.0,50.0,0.28,1230.0,4680.1,443.04,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1305,60,10000,81500.0,8.15,0.14,574.0,3787.32,130.4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1306,100,4300,43.0,0.01,0.0,1017.0,519.71,0.07,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1307,30,1600,3200.0,2.0,0.07,2519.0,15252.7,5.12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
